host,host.inst.area,country,webpage,original.address,latitude,longitude
The God's Project,Antigua,Antigua,<strong>www.godschild.org/countries/Antigua</strong>,Antigua,17.074656,-61.817521
Royal Hobart Hospital,"Hobart, Tasmania",Australia,http://www.dhhs.tas.gov.au/hospital/royal-hobart-hospital,"Hobart, Tasmania",-42.881903,147.323814
"Sydney Medical School Nepean, Nepean Hospital","Kingswood, Sydney",Australia,http://sydney.edu.au/medicine/nepean/about/,"Kingswood, Sydney",-33.758938,150.720068
Nepean Hospital,"Kingswood, Sydney, New South Wales",Australia,"<a href=""http://www.nbmlhd.health.nsw.gov.au/nepean-hospital"" rel=""nofollow"">http://www.nbmlhd.health.nsw.gov.au/nepean-hospital</a>","Kingswood, Sydney, New South Wales, Australia.",-33.758938,150.720068
Austin Health Hospital,Melbourne,Australia,www.austin.org.au,"Melbourne, Australia",-37.814107,144.96328
Austin Hospital,Melbourne,Australia,http://www.austin.org.au/,"Melbourne, Australia",-37.814107,144.96328
The Royal Children's Hospital,Melbourne,Australia,http://www.rch.org.au/home/,"Melbourne, Australia",-37.814107,144.96328
"Neuropsychiatric Institute, Prince of Wales Hospital","Randwick, Sydney",Australia,not available currently,"Randwick, Sydney",-33.914437,151.241642
Mona Vale Hospital,Sydney,Australia,http://www.nslhd.health.nsw.gov.au/Hospitals/MonaVale,Sydney,-33.867487,151.20699
Northern Clinical School - Royal North Shore Hospital,Sydney,Australia,sydney.edu.au/medicine/northern/,Sydney,-33.867487,151.20699
Royal North Shore Horspital,Sydney,Australia,http://sydney.edu.au/medicine/northern/electives/,Sydney,-33.867487,151.20699
Royal Prince Alfred Hospital,Sydney,Australia,https://www.slhd.nsw.gov.au/rpa/,"Sydney, Australia",-33.867487,151.20699
"Ryde Hospital, Northern Clinical School","Sydney, NSW",Australia,"<a href=""http://sydney.edu.au/medicine/northern/"" rel=""nofollow"" rel=""nofollow"">http://sydney.edu.au/medicine/northern/</a>","Sydney, NSW",-33.867487,151.20699
Westmead Hospital,"Westmead, New South Wales",Australia,http://www.wslhd.health.nsw.gov.au/Westmead-Hospital,"Westmead, New South Wales",-33.807689,150.987277
Westmead Hospital,"Westmead, New South Wales, Australia",Australia,"<a href=""http://www.wslhd.health.nsw.gov.au/Westmead-Hospital"" rel=""nofollow"">http://www.wslhd.health.nsw.gov.au/Westmead-Hospital</a>","Westmead, New South Wales, Australia",-33.807689,150.987277
Nepean Hospital,Penrith.,Australia,http://www.nbmlhd.health.nsw.gov.au/nepean-hospital,"Penrith, Australia",-33.752178,150.691047
Western Desert Dialysis,"Alice Springs, NT, Australia",Australia,http://www.westerndesertdialysis.com/,"Alice Springs, NT, Australia",-23.70021,133.880611
Sanglah Hospital,"Denpasaar, Bali",Indonesia,Internationalunit_fk@yahoo.com,Denpasar神,-8.65,115.216667
