region	number	radius	latitude	longitude	color
Australia	16	2.256758334	-25.274398	133.775136	yellow
Central America	25	2.820947918	12.769013	-85.602364	white
China	1	0.564189584	35.86166	104.195397	red
East Africa	26	2.876813696	1.957709	37.297204	pink
Europe	49	3.949327085	51.507351	-0.127758	blue
India	8	1.595769122	20.593684	78.96288	orange
Japan	1	0.564189584	36.204824	138.252924	white
Nepal	3	0.977205024	28.394857	84.124008	blue
New Zealand	30	3.090193616	-40.900557	174.885971	black
North America	11	1.871205159	54.525961	-105.255119	blue
Pacific Islands	30	3.090193616	-21.133333	-175.2	orange
South Africa	13	2.034214473	-30.559482	22.937506	green
South America	14	2.111004123	-8.783195	-55.491477	orange
South East Asia	13	2.034214473	8.719768	116.607154	white
West Africa	1	0.564189584	13.531665	-2.460415	red
