region	number	radius	country	latitude	longitude	color
The Americas & Islands	12	1.95468777	nicaragua	12.865416	-85.207229	blue
Australia	6	1.382172977	australia	-33.867487	151.20699	green
China	4	1.12853951	china	35.86166	104.195397	red
East Africa	16	2.257079021	tanzania	-3.388818	36.684936	pink
India	7	1.492917445	india	20.593684	78.96288	orange
Japan	1	0.564269755	japan	35.689488	139.691706	white
Nepal	5	1.26174553	nepal	28.394857	84.124008	blue
New Zealand	9	1.692809266	new zealand	-36.860549	174.76995	black
South Africa	3	0.977343885	south africa	-30.559482	22.937506	green
UK & Europe	11	1.871471058	UK	51.508515	-0.125487	blue
West Africa	1	0.564269755	Sierra Leone	8.460555	-11.779889	red
Western Pacific	5	1.26174553	Papua New Guinea	-5.845463	144.574905	white
Sri Lanka	2	0.564269755	srilanka	7.873054	80.771797	green
